"question","answer"
"Какова стоимость бакалавриат по «Прикладной информатике» (ИИ и анализ данных) очно?","150 000 рублей за семестр (на базе СОО и СПО)."
"Скажите, пожалуйста, есть ли специальности, которые доступны только с 11 классами (не принимают после 9)?","Да, согласно таблице: «Преподавание в начальных классах» (только 2 года 10 месяцев на базе 11 классов), «Обеспечение информационной безопасности автоматизированных систем» (только 2 года 10 месяцев), «Технологии индустрии красоты» (только 1 год 10 месяцев), «Техническое обслуживание и ремонт автотранспортных средств» (только 2 года 10 месяцев)."
"Скажите, пожалуйста, доступна ли заочная форма для специальности «Реклама»?","Да, 42.02.01 «Реклама». Срок: после 9 классов – 3 года 4 месяца, после 11 классов – 2 года 4 месяца."
"Скажите, пожалуйста, как можно подать документы?","Тремя способами: 1. Лично в университете (Москва, 2-й Кожуховский проезд, 12, стр.1); 2. По почте; 3. В электронной форме через ЕПГУ («Госуслуги»)."
"Скажите, пожалуйста, квалификация «Бухгалтер» — это какая специальность?","38.02.01 «Экономика и бухгалтерский учет». Форма обучения — очная (заочная в таблице сроков отсутствует)."
"Разрешено ли заочно учиться на финансиста после 11 классов?","Да, специальность 38.02.06 «Финансы». Срок – 2 года 4 месяца."
"Какие специальности на заочной форме имеют срок 3 года 4 месяца на базе 9 классов?","«Операционная деятельность в логистике», «Торговое дело», «Банковское дело», «Реклама», «Финансы», «Техническая эксплуатация и сопровождение информационных систем»."
"Скажите, пожалуйста, как можно подать документы?","Тремя способами: 1. Лично в университете (Москва, 2-й Кожуховский проезд, 12, стр.1); 2. По почте; 3. В электронной форме через ЕПГУ («Госуслуги»)."
"Скажите, пожалуйста, какие предметы сдаются при поступление после 9 или 11 классов на вступительных испытаниях?","Сдаются следующие предметы: русский язык, профильная математика, биология, информатика, история, иностранный язык, обществознание, литература, география, физика, химия."
"Скажите, пожалуйста, когда работает приёмная комиссия?","В период с 23 сентября 2025 года по 19 июня 2026 года. График: понедельник–четверг с 09:30 до 18:15, пятница с 09:30 до 17:00. Суббота и воскресенье – выходной."
"Скажите, пожалуйста, какая квалификация у выпускников по специальности «Торговое дело»?","Специалист торгового дела."
"Скажите, пожалуйста, сколько учиться на бухгалтера очно после 9 классов?","2 года 10 месяцев. Специальность 38.02.01 «Экономика и бухгалтерский учет»."
"Скажите, пожалуйста, какие сроки обучения в специалитете очно?","5 лет (нормативный срок для всех программ)."
"Какие сроки на бухгалтера очно после 9 классов?","2 года 10 месяцев. Специальность 38.02.01 «Экономика и бухгалтерский учет»."
"Какова стоимость бакалавриат по «Экономике» (бизнес-аналитика, бухучет, финансовая аналитика) очно?","166 000 рублей за семестр на базе СОО и СПО."
"Скажите, пожалуйста, что означает «на базе среднего профессионального образования (квалификация по специальности)»?","Это поступление в бакалавриат после колледжа, если у вас уже есть диплом СПО именно по профильной специальности. Для таких студентов возможны ускоренные сроки (очная — 3 года, очно-заочная — 3 года 2 месяца и т.д.)."
"Скажите, пожалуйста, доступна ли заочная форма для специальности «Реклама»?","Да, 42.02.01 «Реклама». Срок: после 9 классов – 3 года 4 месяца, после 11 классов – 2 года 4 месяца."
"Скажите, пожалуйста, на какой вкладке можно найти расписание бакалавриата?","Расписание можно найти по ссылки https://www.muiv.ru/studentu/, найдя свой факультет."
"Скажите, пожалуйста, что означает «индивидуальный учебный план» в бакалавриате?","Это план, который университет разрабатывает под конкретного студента. Позволяет освоить программу ускоренно или углублённо, с учётом его возможностей, потребностей и предшествующего образования."
"Скажите, пожалуйста, какие сроки обучения в специалитете очно?","5 лет (нормативный срок для всех программ)."
"Скажите, пожалуйста, сколько длится очно-заочное (заочное) обучение в бакалавриате?","4 года 6 месяцев. Для группы выходного дня — также 4 года 6 месяцев (кроме 38.03.05 «Бизнес-информатика» с профилем «Игровая компьютерная индустрия» — там 3 года 6 месяцев)."
"Объясните, что означает специалитет?","Специалитет — традиционная для России ступень высшего образования. Срок: 5 лет (очная форма) или 6 лет (очно-заочная / заочная). Выдаётся диплом специалиста, после него можно поступать в магистратуру и аспирантуру."
"Скажите, пожалуйста, сколько длится очное обучение в бакалавриате?","Обычно 4 года. Исключение: 44.03.05 «Педагогическое образование (с двумя профилями подготовки)» — 5 лет очно."
"Назовите стоимость обучения бакалавриат по «Государственному и муниципальному управлению» очно?","166 000 рублей за семестр (на базе СОО и СПО)."
"Какова стоимость очное обучение на специальности «Юриспруденция»?","100 000 рублей за семестр на базе 9 классов и 110 000 рублей на базе 11 классов."
"Какова стоимость семестр на очном отделении «Банковское дело»?","100 000 рублей на базе 9 классов, 110 000 рублей на базе 11 классов."
"Скажите, пожалуйста, какое минимальное количество баллов для поступающих на базе среднего профессионального образования?","Минимальное количество баллов за вступительное испытание -40 ."
"Скажите, пожалуйста, обучение по индивидуальному учебному плану доступно в колледже?","Да, образовательная организация может изменять сроки получения образования с учетом особенностей и образовательных потребностей конкретного обучающегося, в том числе для ускоренного обучения."
"Скажите, пожалуйста, есть ли специальность «Конгрессно-выставочная деятельность»?","Да, код 38.02.09. Очная форма: срок 2 года 10 месяцев (9 кл.) / 1 год 10 месяцев (11 кл.), стоимость 80 000 (9 кл.) / 90 000 (11 кл.). Заочная форма в таблице стоимости не указана."
"Скажите, пожалуйста, какое минимальное количество баллов для поступающих на базе среднего общего образования и высшего образования?","Минимальное количество баллов за вступительное испытание - 41"
"Скажите, пожалуйста, какая стоимость семестра на «Юриспруденции» (гражданско-правовой профиль) очно?","166 000 рублей (на базе СОО и СПО)."
"Скажите, пожалуйста, есть ли специальности, которые доступны только с 11 классами (не принимают после 9)?","Да, согласно таблице: «Преподавание в начальных классах» (только 2 года 10 месяцев на базе 11 классов), «Обеспечение информационной безопасности автоматизированных систем» (только 2 года 10 месяцев), «Технологии индустрии красоты» (только 1 год 10 месяцев), «Техническое обслуживание и ремонт автотранспортных средств» (только 2 года 10 месяцев)."
"Какова продолжительность обучения на веб-разработчика после 11 классов очно?","1 год 10 месяцев. Специальность 09.02.09 «Веб-разработка»."
"Скажите, пожалуйста, есть ли бакалавриат по «Рекламе»?","Да, код 42.03.01 «Реклама и связи с общественностью». Очная форма — 166 000 руб./семестр. Заочная с ДОТ — 50 000 руб."
"Скажите, пожалуйста, сколько длится очное обучение в бакалавриате?","Обычно 4 года. Исключение: 44.03.05 «Педагогическое образование (с двумя профилями подготовки)» — 5 лет очно."
"Скажите, пожалуйста, есть ли специальности, которые доступны только с 11 классами (не принимают после 9)?","Да, согласно таблице: «Преподавание в начальных классах» (только 2 года 10 месяцев на базе 11 классов), «Обеспечение информационной безопасности автоматизированных систем» (только 2 года 10 месяцев), «Технологии индустрии красоты» (только 1 год 10 месяцев), «Техническое обслуживание и ремонт автотранспортных средств» (только 2 года 10 месяцев)."
"Скажите, пожалуйста, могу ли я учиться быстрее стандартного срока?","Да, возможно ускоренное обучение. Оно регламентируется Приказом Минобрнауки №464 (ст.24). Право на ускоренное обучение имеют лица, уже имеющие квалификацию по профессии СПО, соответствующей выбранной специальности. Порядок устанавливается локальными актами образовательной организации."
"Скажите, пожалуйста, по какой специальности готовят «Специалиста по работе с искусственным интеллектом»?","Код 09.02.13 «Интеграция решений с применением технологий искусственного интеллекта». Срок обучения очно: после 9 классов – 3 года 10 месяцев, после 11 – 2 года 10 месяцев."
"Скажите, пожалуйста, есть ли недорогие направления бакалавриата очно?","Да. «Специальное (дефектологическое) образование» — 110 000 руб./семестр, «Психолого-педагогическое образование» — 130 000 руб., «Туризм» — 130 000 руб., «Педагогическое образование» — 130 000 руб."
"Разрешено ли учиться в бакалавриате ускоренно на базе СПО?","Да. На базе среднего профессионального образования при наличии квалификации по специальности сроки: очная — 3 года, очно-заочная дистанционная — 3 года 2 месяца, заочная группа выходного дня — 3 года 6 месяцев."
"Укажите цену бакалавриат по «Педагогическому образованию» с двумя профилями очно?","130 000 рублей за семестр (на базе СОО)."
"Назовите стоимость обучения бакалавриат по «Психолого-педагогическому образованию» очно?","130 000 рублей за семестр (на базе СОО и СПО)."
"Есть ли специальность «Физическая культура» и Укажите цену?","Да, 49.02.01. Очная форма: 90 000 руб. (9 кл.) / 100 000 руб. (11 кл.). Срок: 3 г.10 м / 2 г.10 м."
"Укажите цену очно-заочная (группа выходного дня) в бакалавриате?","Обычно 100 000–166 000 руб./семестр. Например: «Менеджмент» (управление проектами) — 100 000 руб. на базе СОО, «Экономика» — 100 000 руб. Точная стоимость зависит от направления."
"Скажите, пожалуйста, какая стоимость семестра на «Юриспруденции» (гражданско-правовой профиль) очно?","166 000 рублей (на базе СОО и СПО)."
"Скажите, пожалуйста, в каких специальностях очная форма стоит 90 000–100 000 рублей на базе 9 классов?","«Дошкольное образование» (90 000), «Физическая культура» (90 000), «Финансы» (90 000), а также «Конгрессно-выставочная деятельность» (80 000) — это дешевле. «Дизайн» и «Банковское дело» — по 100 000."
"Дайте определение понятию бакалавриат?","Бакалавриат — первая ступень высшего образования. Традиционный срок обучения — 4 года (есть вариации). Выпускник получает диплом государственного образца и может работать или поступать в магистратуру."
"Какова продолжительность обучения на дошкольное образование очно после 9 классов?","3 года 10 месяцев. Специальность 44.02.01 «Дошкольное образование», квалификация «Воспитатель детей дошкольного возраста в полилингвальной образовательной среде»."
"Разрешено ли заочно учиться на финансиста после 11 классов?","Да, специальность 38.02.06 «Финансы». Срок – 2 года 4 месяца."
"Разрешено ли подать заявление через «Госуслуги»?","Да. В личном кабинете на портале Госуслуги можно заполнить заявку, загрузить документы и потом подтвердить поступление."
"Существует ли возможность после колледжа поступить на бакалавриат с сокращённым сроком?","Да, если ваша квалификация по профессии/специальности соответствует направлению бакалавриата. Сроки: очно — 3 года, очно-заочная дистанционная — 3 года 2 месяца, заочная группа выходного дня — 3 года 6 месяцев."
"Скажите, пожалуйста, какая стоимость семестра на «Юриспруденции» (гражданско-правовой профиль) очно?","166 000 рублей (на базе СОО и СПО)."
"Скажите, пожалуйста, есть ли специальности, которые доступны только с 11 классами (не принимают после 9)?","Да, согласно таблице: «Преподавание в начальных классах» (только 2 года 10 месяцев на базе 11 классов), «Обеспечение информационной безопасности автоматизированных систем» (только 2 года 10 месяцев), «Технологии индустрии красоты» (только 1 год 10 месяцев), «Техническое обслуживание и ремонт автотранспортных средств» (только 2 года 10 месяцев)."
"Скажите, пожалуйста, какие специальности на заочной форме имеют срок 3 года 4 месяца после 9 классов?","«Операционная деятельность в логистике», «Торговое дело», «Банковское дело», «Реклама», «Финансы», «Техническая эксплуатация и сопровождение информационных систем»."
"Укажите цену очное обучение на «Менеджменте» в бакалавриате?","166 000 рублей за семестр на базе СОО и СПО. Логистика, маркетинг, управление проектами, цифровой менеджмент — все по 166 000."
"Есть ли специальность «Физическая культура» и Укажите цену?","Да, 49.02.01. Очная форма: 90 000 руб. (9 кл.) / 100 000 руб. (11 кл.). Срок: 3 г.10 м / 2 г.10 м."
"Возможно ли получить специальность «Техническое обслуживание автотранспорта» заочно?","В таблице сроков заочной формы эта специальность (23.02.07) не указана. В таблице стоимости она есть только в очной (на базе СОО — 80 000 руб.). Скорее всего, заочной формы для неё нет."
"Скажите, пожалуйста, есть ли недорогие направления бакалавриата очно?","Да. «Специальное (дефектологическое) образование» — 110 000 руб./семестр, «Психолого-педагогическое образование» — 130 000 руб., «Туризм» — 130 000 руб., «Педагогическое образование» — 130 000 руб."
"Скажите, пожалуйста, какова стоимость очного бакалавриата по «Туризму»?","130 000 рублей за семестр."
"Существует ли возможность заочно учиться на финансиста после 11 классов?","Да, специальность 38.02.06 «Финансы». Срок – 2 года 4 месяца."
"Скажите, пожалуйста, какое минимальное количество баллов для поступающих на базе среднего профессионального образования?","Минимальное количество баллов за вступительное испытание -40 ."
"Скажите, пожалуйста, есть ли специальности с очной стоимостью 80 000 рублей на базе 9 классов?","Да, две: «Конгрессно-выставочная деятельность» (43.02.16) и «Техническая эксплуатация и сопровождение ИС» (код 09.02.06 в таблице стоимости)."
"Скажите, пожалуйста, какая стоимость семестра на «Юриспруденции» (гражданско-правовой профиль) очно?","166 000 рублей (на базе СОО и СПО)."
"Скажите, пожалуйста, на какой вкладке можно найти расписание бакалавриата?","Расписание можно найти по ссылки https://www.muiv.ru/studentu/, найдя свой факультет."
"Скажите, пожалуйста, какая специальность имеет самый долгий срок обучения на базе 9 классов?","Несколько специальностей требуют 3 года 10 месяцев: «Компьютерные системы и комплексы», «Разработка и управление ПО», «Дошкольное образование», «Физическая культура», «Дизайн», «Интеграция решений с применением технологий ИИ»."
"Скажите, пожалуйста, могу ли я учиться быстрее стандартного срока?","Да, возможно ускоренное обучение. Оно регламентируется Приказом Минобрнауки №464 (ст.24). Право на ускоренное обучение имеют лица, уже имеющие квалификацию по профессии СПО, соответствующей выбранной специальности. Порядок устанавливается локальными актами образовательной организации."
"Скажите, пожалуйста, сколько длится очное обучение в бакалавриате?","Обычно 4 года. Исключение: 44.03.05 «Педагогическое образование (с двумя профилями подготовки)» — 5 лет очно."
"Скажите, пожалуйста, может ли доверенное лицо подать документы за меня?","Да, лично или через доверенное лицо в здании университета."
"Возможно ли выучиться на банковского специалиста заочно?","Да, специальность 38.02.07 «Банковское дело». Сроки: после 9 классов – 3 года 4 месяца, после 11 классов – 2 года 4 месяца."
"Скажите, пожалуйста, какая стоимость семестра на «Юриспруденции» (гражданско-правовой профиль) очно?","166 000 рублей (на базе СОО и СПО)."
"Скажите, пожалуйста, есть ли бакалавриат по «Рекламе»?","Да, код 42.03.01 «Реклама и связи с общественностью». Очная форма — 166 000 руб./семестр. Заочная с ДОТ — 50 000 руб."
"Укажите цену бакалавриат по направлению «Бизнес-информатика» (очное)?","Для профилей «Игровая компьютерная индустрия», «Цифровой дизайн и веб-разработка», «Бизнес-аналитик 1С» — 166 000 рублей за семестр (на базе СОО и СПО)."
"Какова стоимость бакалавриат по направлению «Бизнес-информатика» (очное)?","Для профилей «Игровая компьютерная индустрия», «Цифровой дизайн и веб-разработка», «Бизнес-аналитик 1С» — 166 000 рублей за семестр (на базе СОО и СПО)."
"Скажите, пожалуйста, есть ли специалитет с заочной формой?","Да. Например, «Таможенное дело» — заочная форма с ДОТ стоит 50 000 руб./семестр. Срок обучения — 6 лет."
"Скажите, пожалуйста, адрес и телефон приёмной комиссии?","Адрес: 115432, Москва, 2-й Кожуховский проезд, д.12, стр.1, каб. 101. Телефон: 8 (495) 818-99-43. E-mail: pk@muiv.ru"
"Скажите, пожалуйста, есть ли специалитет с заочной формой?","Да. Например, «Таможенное дело» — заочная форма с ДОТ стоит 50 000 руб./семестр. Срок обучения — 6 лет."
"Существует ли возможность заочно учиться на программиста после 11 классов?","Да, 09.02.11 «Разработка и управление программным обеспечением». Срок – 3 года 4 месяца, стоимость заочного обучения с ДОТ – 50 000 рублей за семестр."
"Существует ли возможность учиться в бакалавриате ускоренно на базе СПО?","Да. На базе среднего профессионального образования при наличии квалификации по специальности сроки: очная — 3 года, очно-заочная дистанционная — 3 года 2 месяца, заочная группа выходного дня — 3 года 6 месяцев."
"Скажите, пожалуйста, какое минимальное количество баллов для поступающих на базе среднего общего образования и высшего образования?","Минимальное количество баллов за вступительное испытание - 41"
"Скажите, пожалуйста, может ли доверенное лицо подать документы за меня?","Да, лично или через доверенное лицо в здании университета."
"Скажите, пожалуйста, доступна ли заочная форма для специальности «Реклама»?","Да, 42.02.01 «Реклама». Срок: после 9 классов – 3 года 4 месяца, после 11 классов – 2 года 4 месяца."
"Какие специальности на заочной форме имеют срок 3 года 4 месяца на базе 9 классов?","«Операционная деятельность в логистике», «Торговое дело», «Банковское дело», «Реклама», «Финансы», «Техническая эксплуатация и сопровождение информационных систем»."
"Скажите, пожалуйста, какие предметы сдаются при поступление после СПО на вступительных испытаниях?","Сдаются следующие предметы: русский язык, микроэкономика, основы автоматизации, основы маркетинга, основы обществознания, основы прикладной информатики, основы психологии, педагогика, риторика, теория государства и права, теория управления. "
"Сколько стоит бакалавриат по «Экономике» (бизнес-аналитика, бухучет, финансовая аналитика) очно?","166 000 рублей за семестр на базе СОО и СПО."
"Скажите, пожалуйста, есть ли специальности, которые доступны только с 11 классами (не принимают после 9)?","Да, согласно таблице: «Преподавание в начальных классах» (только 2 года 10 месяцев на базе 11 классов), «Обеспечение информационной безопасности автоматизированных систем» (только 2 года 10 месяцев), «Технологии индустрии красоты» (только 1 год 10 месяцев), «Техническое обслуживание и ремонт автотранспортных средств» (только 2 года 10 месяцев)."
"Скажите, пожалуйста, может ли доверенное лицо подать документы за меня?","Да, лично или через доверенное лицо в здании университета."
"Скажите, пожалуйста, сколько длится очное обучение в бакалавриате?","Обычно 4 года. Исключение: 44.03.05 «Педагогическое образование (с двумя профилями подготовки)» — 5 лет очно."
"Скажите, пожалуйста, есть ли специальности с очной стоимостью 80 000 рублей на базе 9 классов?","Да, две: «Конгрессно-выставочная деятельность» (43.02.16) и «Техническая эксплуатация и сопровождение ИС» (код 09.02.06 в таблице стоимости)."
"Назовите стоимость обучения бакалавриат по «Экономике» (бизнес-аналитика, бухучет, финансовая аналитика) очно?","166 000 рублей за семестр на базе СОО и СПО."
"Разрешено ли получить специальность «Техническое обслуживание автотранспорта» заочно?","В таблице сроков заочной формы эта специальность (23.02.07) не указана. В таблице стоимости она есть только в очной (на базе СОО — 80 000 руб.). Скорее всего, заочной формы для неё нет."
"Скажите, пожалуйста, какая специальность имеет самый долгий срок обучения на базе 9 классов?","Несколько специальностей требуют 3 года 10 месяцев: «Компьютерные системы и комплексы», «Разработка и управление ПО», «Дошкольное образование», «Физическая культура», «Дизайн», «Интеграция решений с применением технологий ИИ»."
"Скажите, пожалуйста, доступна ли заочная форма для специальности «Реклама»?","Да, 42.02.01 «Реклама». Срок: после 9 классов – 3 года 4 месяца, после 11 классов – 2 года 4 месяца."
"Скажите, пожалуйста, есть ли специалитет с заочной формой?","Да. Например, «Таможенное дело» — заочная форма с ДОТ стоит 50 000 руб./семестр. Срок обучения — 6 лет."
"Назовите стоимость обучения бакалавриат по «Государственному и муниципальному управлению» очно?","166 000 рублей за семестр (на базе СОО и СПО)."
"Скажите, пожалуйста, какой срок обучения в бакалавриате на базе высшего образования?","Для ускоренного обучения: очно-заочная классическая — 3 года 2 месяца, заочная дистанционная — 3 года. В некоторых программах есть заочная группа выходного дня — 3 года 6 месяцев."
"Скажите, пожалуйста, доступна ли заочная форма для специальности «Реклама»?","Да, 42.02.01 «Реклама». Срок: после 9 классов – 3 года 4 месяца, после 11 классов – 2 года 4 месяца."
"Скажите, пожалуйста, на какой вкладке можно найти расписание бакалавриата?","Расписание можно найти по ссылки https://www.muiv.ru/studentu/, найдя свой факультет."
"Скажите, пожалуйста, сколько учиться на веб-разработчика после 11 классов очно?","1 год 10 месяцев. Специальность 09.02.09 «Веб-разработка»."
"Какова продолжительность обучения на дошкольное образование очно после 9 классов?","3 года 10 месяцев. Специальность 44.02.01 «Дошкольное образование», квалификация «Воспитатель детей дошкольного возраста в полилингвальной образовательной среде»."
"Скажите, пожалуйста, какие предметы сдаются при поступление после СПО на вступительных испытаниях?","Сдаются следующие предметы: русский язык, микроэкономика, основы автоматизации, основы маркетинга, основы обществознания, основы прикладной информатики, основы психологии, педагогика, риторика, теория государства и права, теория управления. "
"Укажите цену семестр на очном отделении «Банковское дело»?","100 000 рублей на базе 9 классов, 110 000 рублей на базе 11 классов."
"Скажите, пожалуйста, что означает «индивидуальный учебный план» в бакалавриате?","Это план, который университет разрабатывает под конкретного студента. Позволяет освоить программу ускоренно или углублённо, с учётом его возможностей, потребностей и предшествующего образования."
"Скажите, пожалуйста, какие предметы сдаются при поступление после 9 или 11 классов на вступительных испытаниях?","Сдаются следующие предметы: русский язык, профильная математика, биология, информатика, история, иностранный язык, обществознание, литература, география, физика, химия."
"Скажите, пожалуйста, какое минимальное количество баллов для поступающих на базе среднего общего образования и высшего образования?","Минимальное количество баллов за вступительное испытание - 41"
"Скажите, пожалуйста, доступна ли заочная форма для специальности «Реклама»?","Да, 42.02.01 «Реклама». Срок: после 9 классов – 3 года 4 месяца, после 11 классов – 2 года 4 месяца."
"Скажите, пожалуйста, может ли доверенное лицо подать документы за меня?","Да, лично или через доверенное лицо в здании университета."
"Скажите, пожалуйста, обучение по индивидуальному учебному плану доступно в колледже?","Да, образовательная организация может изменять сроки получения образования с учетом особенностей и образовательных потребностей конкретного обучающегося, в том числе для ускоренного обучения."
"Скажите, пожалуйста, сколько учиться на бухгалтера очно после 9 классов?","2 года 10 месяцев. Специальность 38.02.01 «Экономика и бухгалтерский учет»."
"Укажите цену очно-заочная (группа выходного дня) в бакалавриате?","Обычно 100 000–166 000 руб./семестр. Например: «Менеджмент» (управление проектами) — 100 000 руб. на базе СОО, «Экономика» — 100 000 руб. Точная стоимость зависит от направления."
"Укажите цену семестр на очном отделении «Банковское дело»?","100 000 рублей на базе 9 классов, 110 000 рублей на базе 11 классов."
"Скажите, пожалуйста, какие есть формы обучения в колледже?","В колледже представлены две формы обучения: очная и заочная. Для некоторых специальностей также упоминается очно-заочная форма с применением дистанционных образовательных технологий (ДОТ) — информация о ней указана в таблице стоимости, но сроки в предоставленных данных для неё не приведены."
"Какова стоимость очное обучение на «Менеджменте» в бакалавриате?","166 000 рублей за семестр на базе СОО и СПО. Логистика, маркетинг, управление проектами, цифровой менеджмент — все по 166 000."
"Скажите, пожалуйста, что означает «на базе среднего профессионального образования (квалификация по специальности)»?","Это поступление в бакалавриат после колледжа, если у вас уже есть диплом СПО именно по профильной специальности. Для таких студентов возможны ускоренные сроки (очная — 3 года, очно-заочная — 3 года 2 месяца и т.д.)."
"Скажите, пожалуйста, есть ли недорогие направления бакалавриата очно?","Да. «Специальное (дефектологическое) образование» — 110 000 руб./семестр, «Психолого-педагогическое образование» — 130 000 руб., «Туризм» — 130 000 руб., «Педагогическое образование» — 130 000 руб."
"Скажите, пожалуйста, сколько длится очное обучение в бакалавриате?","Обычно 4 года. Исключение: 44.03.05 «Педагогическое образование (с двумя профилями подготовки)» — 5 лет очно."
"Объясните, что означает специалитет?","Специалитет — традиционная для России ступень высшего образования. Срок: 5 лет (очная форма) или 6 лет (очно-заочная / заочная). Выдаётся диплом специалиста, после него можно поступать в магистратуру и аспирантуру."
"Дайте определение понятию специалитет?","Специалитет — традиционная для России ступень высшего образования. Срок: 5 лет (очная форма) или 6 лет (очно-заочная / заочная). Выдаётся диплом специалиста, после него можно поступать в магистратуру и аспирантуру."
